Item_ID,Item_type,Item_Name,Value,Gold,Stack,Item_Info,Item_Image
41001,1,ItemName1,3,400,1,ItemInfo1,StoreIcon_ATK
41002,1,ItemName2,3,800,1,ItemInfo2,StoreIcon_ATK
41003,1,ItemName3,4,1200,1,ItemInfo3,StoreIcon_ATK
41004,1,ItemName4,5,1500,1,ItemInfo4,StoreIcon_ATK
41005,1,ItemName5,5,2000,1,ItemInfo5,StoreIcon_ATK
42001,2,ItemName6,50,400,1,ItemInfo6,StoreIcon_HP
42002,2,ItemName7,50,800,1,ItemInfo7,StoreIcon_HP
42003,2,ItemName8,70,1200,1,ItemInfo8,StoreIcon_HP
42004,2,ItemName9,70,1500,1,ItemInfo9,StoreIcon_HP
42005,2,ItemName10,110,2000,1,ItemInfo10,StoreIcon_HP
43001,3,ItemName11,2,400,1,ItemInfo11,StoreIcon_Cri
43002,3,ItemName12,2,800,1,ItemInfo12,StoreIcon_Cri
43003,3,ItemName13,2,1200,1,ItemInfo13,StoreIcon_Cri
43004,3,ItemName14,2,1500,1,ItemInfo14,StoreIcon_Cri
43005,3,ItemName15,2,2000,1,ItemInfo15,StoreIcon_Cri
